ParticleID,Ref1,Ref2,Ref3,Dist1,Dist2,Dist3
3,13,11,10,1.24,1.7,2.49
4,13,11,10,0.65,1.16,2.08
105,13,11,10,1.26,0.76,1.78
25,13,11,10,1.09,0.89,1.49
30,13,11,10,1.55,1.15,1.36
88,13,11,10,0.65,1.32,2.25
67,13,11,10,1.34,1.31,1.76
7,6,7,8,1.09,0.91,1.43
113,6,7,8,,,
42,6,7,8,,,
44,6,7,8,1.03,0.73,0.55
5,6,7,8,,,
24,6,7,8,0.81,1.16,1.76
99,6,7,8,,,
13,6,7,8,0.89,0.77,1.32
16,6,7,8,3.85,4.37,4.48
112,6,7,8,3.52,4.18,4.27
54,6,7,8,,,
38,6,7,8,,,
33,6,7,8,,,
117,6,7,8,,,
26,6,7,8,,,
55,6,7,8,1.02,0.74,1.31
32,6,7,8,,,
59,6,7,8,,,
57,6,7,8,0.83,-0.3,0.64
104,6,7,8,,,
87,6,7,8,0.78,0.78,1.39
72,6,7,8,,,
82,6,7,8,,,
71,6,7,8,1.54,2.15,2.76
51,6,7,8,,,
80,6,7,8,0.69,1.24,1.36
63,6,7,8,,,
1050,6,7,8,,,
1026,6,7,8,,,
1055,6,7,8,,,
1037,6,7,8,,,
127,6,7,8,1.93,2.33,2.3
134,6,7,8,,,
79,6,7,8,,,
1017,6,7,8,,,
1036,6,7,8,,,
1044,6,7,8,,,
1065,6,7,8,3.5,4.15,4.25
6,6,7,8,0.99,1.55,1.39
92,6,7,8,1.57,2.15,2.23
96,6,7,8,1.46,1.97,2.04
12,6,7,8,1.85,2.27,2.23
125,6,7,8,0.81,1.32,1.45
68,6,7,8,2.75,3.22,3.24
86,6,7,8,,,
126,6,7,8,,,
77,6,7,8,0.33,0.98,1.28
76,6,7,8,,,
69,6,7,8,1.98,2.49,2.49
74,6,7,8,1.59,2.12,2.19
1028,6,7,8,,,
36,6,7,8,1.63,2.02,1.93
107,6,7,8,1.78,2.38,2.39
132,6,7,8,1.29,1.95,2.11
62,6,7,8,2.66,3.1,3.06
85,6,7,8,3.28,2.86,2.94
1049,6,7,8,3.45,4.02,3.98
1052,6,7,8,3.12,3.67,3.63
165,13,11,10,1.27,1.28,1.22
166,13,11,10,1.51,0.71,1.4
138,13,11,10,1.58,0.84,1.51
10,13,11,10,1.58,0.92,1.03
150,13,11,10,1.22,0.58,1.15
156,13,11,10,2.35,1.22,0.81
157,13,11,10,0.99,0.51,1.64
22,17,16,15,,,
114,17,16,15,,,
90,17,16,15,0.98,1.12,3.05
19,17,16,15,1.97,1.12,2.26
106,17,16,15,1.88,1.54,1.86
49,17,16,15,,,
128,17,16,15,1.56,0.67,2.71
47,17,16,15,0.63,1.51,3.21
39,17,16,15,,,
120,17,16,15,,,
60,17,16,15,2.53,2.19,1.22
130,17,16,15,,,
123,17,16,15,0.67,1.5,3.13
124,17,16,15,1.5,0.62,3.07
81,17,16,15,,,
1006,17,16,15,,,
1011,17,16,15,,,
1048,17,16,15,,,
1062,17,16,15,,,
11,17,16,15,2.55,1.89,1.66
97,17,16,15,2.42,1.78,1.59
37,17,16,15,2.43,1.83,1.54
108,17,16,15,2.44,2.06,1.28
35,17,16,15,,,
91,17,16,15,2.93,2.08,1.5
121,17,16,15,2.34,1.39,2.01
46,17,16,15,2.56,1.65,1.83
1051,17,16,15,,,
1042,17,16,15,,,
131,17,16,15,,,
75,17,16,15,2.85,1.89,1.65
1047,17,16,15,,,
40,17,16,15,2.64,1.85,1.61
118,17,16,15,,,
23,17,16,15,1.3,2.04,4.27
110,17,16,15,1.41,0.74,3.24
48,17,16,15,0.82,1.35,2.75
61,17,16,15,1.61,1.73,1.72
52,17,16,15,1.41,1.25,2.24
1061,17,16,15,2.43,2.15,1.16
1040,17,16,15,2.77,1.7,1.91
1053,17,16,15,1.74,1.01,2.4
139,17,16,15,0.75,1.34,3.2
142,17,16,15,1.38,0.72,2.85
146,17,16,15,1.32,1.08,3.59
149,17,16,15,1.05,0.98,3.09
158,17,16,15,1.05,1.01,2.89
164,17,16,15,1.28,1.18,3.7
154,17,16,15,0.89,1.38,3.51
169,17,16,15,1.15,1.45,3.85
8,18,19,21,,,
2,18,19,21,,,
43,18,19,21,,,
15,18,19,21,1.73,1.61,2.77
94,18,19,21,,,
95,18,19,21,,,
109,18,19,21,,,
66,18,19,21,,,
73,18,19,21,,,
129,18,19,21,,,
70,18,19,21,,,
58,18,19,21,,,
136,18,19,21,1.87,1.81,2.95
1039,18,19,21,1.73,1.8,2.92
1005,18,19,21,,,
1031,18,19,21,,,
1010,18,19,21,,,
140,21,20,19,1.86,1.47,1.25
143,21,20,19,1.84,1.56,1.13
145,21,20,19,1.41,0.91,1.43
147,21,20,19,1.75,1.18,2.81
160,21,20,19,1.25,1.15,1.19
162,21,20,19,1.09,0.89,1.86
18,21,20,19,1.5,1.05,2.52
170,21,20,19,1.45,0.88,1.48
155,21,20,19,1.52,0.9,1.47
152,21,20,19,1.01,1.19,2.1
168,21,20,19,1.53,1.53,2.8
1,29,27,28,2.19,2.14,0.84
41,29,27,28,,,
17,29,27,28,1.85,2.33,1.12
29,29,27,28,,,
14,29,27,28,,,
119,29,27,28,1.98,2.01,0.59
45,29,27,28,,,
20,29,27,28,1.95,2.11,0.66
34,29,27,28,,,
64,29,27,28,,,
56,29,27,28,,,
78,29,27,28,,,
1002,29,27,28,,,
1014,29,27,28,,,
1043,29,27,28,,,
1058,29,27,28,,,
9,29,27,28,2.34,2.54,0.67
111,29,27,28,1.89,1.69,0.69
89,29,27,28,2.67,2.78,0.84
63,29,27,28,,,
102,29,27,28,1.79,1.97,0.88
116,29,27,28,2,2.18,0.6
122,29,27,28,2.17,2.14,0.47
135,29,27,28,1.89,1.73,0.7
137,29,28,27,2.4,0.5,2.54
141,29,28,27,2.16,0.67,1.79
144,29,28,27,1.78,0.8,1.71
148,29,28,27,1.55,1.09,1.87
159,29,28,27,2.27,0.29,2.17
161,29,28,27,2.11,0.95,1.59
163,29,28,27,2.21,0.66,2.34
101,29,28,27,1.66,0.91,1.82
151,29,28,27,2.3,0.26,2.27
153,29,28,27,1.54,1.05,1.46
167,29,28,27,1.44,1.31,1.13
98,29,27,28,1.42,1.49,1.13
100,29,27,28,2.13,2.47,0.96
133,29,27,28,2.09,2.31,0.73
65,29,27,28,1.43,1.59,1.11
1045,29,27,28,2.15,2.31,0.59
1057,29,27,28,1.75,1.83,0.78
1063,29,27,28,2.8,3.08,1.84
1041,29,27,28,1.84,1.88,0.68
